TSid,dataSetName,variableName,spreadsheetKey,worksheetKey
LPD2d478757,Asia-DAOSIC,year,1ojPXYDd78BMgEEJSFLq2GwPpyGYhEHHSsvoTGw5LJ0Q,of1pqq4
LPD7f06c95e,Asia-DAYNLS,year,1aV5lQziKmepZUX5Y8e0BzdPQFIEIpF65FbPM4D2Nc_U,onp0vet
LPD15eaa82f,Asia-DDANJR,year,1YgQ-m6-jwSviCe642LyMO3CUMTuvPTTv8Es2kihwCD8,o8k560l
LPDe7d56c1f,Asia-DENSJT,year,1KOSCTStkg8T69bmiYoWfNmLvKzoCcb-YvR1oLjxmgY0,ox2xr7s
LPD0507ce7c,Asia-DEORLA,year,1-wqNR9DW9yiy-uUoyNLNgJqhRI3gV2yoszetRosM1-E,o4gr59e
LPD7b0845f3,Asia-DEZQIN,year,13DXcgamTqtYLX0sL5WcEk9eaTLyTcEYcgMnZD0AfyZQ,otqrdec
LPD837f2f23,Asia-DHURPS,year,1n5KmR1c2QodNcpmjCGl3ZUH9kjIDvWbOpf8WvJ3yCW0,o2qfz56
LPD921a0f76,Asia-DLH1,year,10f9eodS9-TKWPtFaunIYcz0IwlbqSfAdmQYYvK8yDRw,okuwyge
LPDbf6a9c96,Asia-DLH2,year,1IRpQC99VPoeJDMxLMVgjFldCFQ8fKATOS6iJRS0j6ms,ocseot5
LPDd3cf4ba7,Asia-DLH3,year,1wMMgY8Gyijy39lix3AFIMLcYHAquSGoqcesJJM9HY1U,oyp67wv
LPD8ffb6077,Asia-DLH4,year,1XboRMCyNSe1qP1wrJkc47povtLJwVoOYRBOfJp_ydxs,obirz3
LPD6d995143,Asia-DLH5,year,13ZlKDhae1egNV0prkzFZDgr5up0t8UWRz2OUv7eWFvA,oa649ed
LPD5d228929,Asia-DLH6,year,1s9ZKm68-5fodaevwmGgH_2sZ20flZ8VxRoBTE-xMoyk,o67v9yz
LPDdc453754,Asia-DQHZHO,year,18xR1KEAz3kIQ9Aos_ScMebEX0zN5nvYVNenTeqNFmRU,o39r1zj
LPDe66913b7,Asia-DULAJP,year,1ITXY7QJoOxdPffXGBpAv1BLKc3Z8luvj85MFzTWelWQ,otbua4t
LPD3d778317,Asia-DUSHJP,year,1bkyN7KQxIreAlC7lSjXQWbJp03WyzLurJ9KcWacOxIM,ol8c9zz
LPD07790b29,Asia-Dasuopu.Thompson.2000,year,1wsd1IaW4cnWK-gdBIudA0iV2371PJSPNSzj4OLc9lXM,o84nvbl
LPD9c0d6657,Asia-Djaz.Magda.2011,year,1wOcFhpCy52Hh4nqHP1VWImWz5S7IS0kzCJ8JpuXsF1c,o2l7s2o
LPD5659aff5,Asia-DonggeCave,year,1avx5CqXmb0yw-lxD4SDTXPaePDi0SbysYxFREL8x6-U,oqpik59
LPD3e47e147,Asia-DonggeCave,age,1avx5CqXmb0yw-lxD4SDTXPaePDi0SbysYxFREL8x6-U,oqpik59
LPD7e3f7c85,Asia-DskJUE,year,1-H8eq_n9QxxNCaQMwzCHRxQBz78F_MPNExrt-pR3IKM,ohx67i3
LPD7bee22ea,Asia-Dunde,year,1LVIoteF9BqTXHTY4E14VCFWItknqXoEd2BagxUkNj6E,oyaxmok
